id,platform,offering,audience,promise,ai_lane,modules,hands_on_artifact,execution_proof,assessment,freshness,commercial_model,url,access_date,gap,claim_status
C01,DeepLearning.AI,Evaluating and Debugging Generative AI,AI developers,learn experiment tracking evaluation and debugging,test-ai-systems,experiment tracking versioning tracing,code notebooks,not stated on page,not stated,current page,free short course,https://www.deeplearning.ai/courses/evaluating-debugging-generative-ai,2026-08-09,no profession-specific CI failure injection,observed
C02,Coursera,Testing and Refining LLM Applications,developers and testers,TDD safety mutation versioning and CI for LLM apps,test-ai-systems,tests safety mutation DVC W&B CI,graded labs suggested,course platform grading,assessments listed,current page,subscription,https://www.coursera.org/learn/testing-and-refining-llm-applications1,2026-08-09,less direct reusable Chinese tester pack,observed
C03,Coursera,Safeguard LLM Outputs,developers,behavioral safety tests with pytest and mutation,test-ai-systems,safety assertions pytest mutation,guided project,platform execution,project assessment,current page,subscription,https://www.coursera.org/learn/safeguard-llm-outputs-test-and-evaluate,2026-08-09,narrow safety scope without RAG or CI loop,observed
C04,Ministry of Testing,Practical Introduction to Testing LLMs,test practitioners,apply testing concepts to LLM behavior,test-ai-systems,regression bias adversarial explainability,article examples,no preserved learner run,none,current page,membership content,https://www.ministryoftesting.com/insights/a-practical-introduction-to-testing-llms,2026-08-09,insight strong but no complete offline course repo,observed
C05,Ministry of Testing,AI-driven Testing in Practice,test practitioners,requirements to reliable automation with trust,use-ai-for-work,requirements cases automation reporting,session walkthrough,not stated,not stated,current page,membership session,https://www.ministryoftesting.com/media-sessions/ai-driven-testing-in-practice-from-requirements-to-reliable-automation,2026-08-09,focuses AI-assisted traditional testing,observed
C06,Bilibili,AI大模型测试全套教程,Chinese beginners,complete AI model testing route,test-ai-systems,long-form modules,video and materials claimed,not independently observed,not stated,2026 listing,free lead generation,https://www.bilibili.com/video/BV1exLczEEVt/,2026-08-09,runnable artifact and regression proof unclear,vendor-claim
C07,Bilibili,AI大模型测试开发全套教程,Chinese test learners,AI applications and testing agents,agentize-work,AI application software test agent performance agent,video and materials claimed,not independently observed,not stated,2026 listing,free lead generation,https://www.bilibili.com/video/BV1B2QoYbEJZ/,2026-08-09,wide syllabus but evidence and boundaries unclear,vendor-claim
C08,知乎,AI测试开发课程介绍,Chinese test engineers,AI methods automation RAG Agent knowledge base,mixed,RAG Agent LangChain API automation,materials claimed,not independently observed,not stated,2025 article,commercial lead generation,https://zhuanlan.zhihu.com/p/1979168536535459798,2026-08-09,bundles topics without visible red-green proof,vendor-claim
C09,慧测网,AI测试全栈智能体课程,Chinese test engineers,large efficiency and accuracy gains,agentize-work,full-stack agent and automation,course projects claimed,marketing metrics only,not stated,current page,paid training,https://www.huicewang.com/testing/,2026-08-09,numeric outcome claims unverified and reproducibility unclear,vendor-claim
C10,Playwright Docs,Test Agents documentation,automation engineers,planner generator healer test workflow,agentize-work,seed planner generator healer,spec and code files,commands are documented,no course assessment,Playwright current docs,free docs,https://playwright.dev/docs/test-agents,2026-08-09,capability docs not a beginner quality curriculum,observed
